name;item;amount;delivered;comment
"P";"pen";11;no;success deliver-two
"Q";"table";3;yes;failure: item not present but delivery-two
"R";"phione";3;no;failure: item not present no delivery-two
"S";"pen";11;no;success deliver-two
"T";"table";3;yes;failure: item not present but delivery-two
"U";"phione";3;no;failure: item not present no delivery-two
"V";"pen";11;no;success deliver-two
"W";"table";3;yes;failure: item not present but delivery-two
"X";"phione";3;no;failure: item not present no delivery-two
"Y";"pen";11;no;success deliver-two
